"derece","durum","mac_var_mi","kazandı mı","borsa_thy","borsa _asels","borsa_froto","trafik_bilgisi","duygu"
"-18.2","Az_Bulutlu","0","0","3.41","3.71","2.94","19","mutlu"
"-13.7","Kar_Yağışlı","1","1","-3.71","-5.79","-1.58","20","sinirli "
"-12.4","Az_Bulutlu","1","0","-1.26","-0.68","5.45","21","keyifsiz"
"-11.3","Kar_Yağışlı","1","0","0.05","1.26","-2.7","24","keyifsiz"
"-10.2","Kar_Yağışlı","1","0","2.87","0.46","-2.78","24","keyifli "
"-9.4","Kar_Yağışlı","0","0","-3","-3.95","-0.81","20","sinirli "
"-8.9","Kar_Yağışlı","0","0","3.62","-2.63","-0.07","24","keyifsiz"
"-8.9","Kar_Yağışlı","1","0","3.09","1.83","0.84","19","mutlu"
"-8.4","Kar_Yağışlı","1","0","-0.52","0.55","3.62","24","mutlu"
"-7.8","Kar_Yağışlı","1","0","4.29","4.34","4.87","19","mutlu"
"-7.6","Kar_Yağışlı","1","1","0.55","1.84","5.31","19","mutlu"
"-9.5","Kar_Yağışlı","1","0","9.59","4.16","2.39","19","mutlu"
"-9.6","Kar_Yağışlı","1","1","2.11","2.85","2.29","19","mutlu"
"-8.8","Kar_Yağışlı","0","0","2.23","0.42","0.33","19","mutlu"
"-7.5","Kar_Yağışlı","1","0","-2.18","-3.06","2.57","21","sinirli "
"-5.4","Kar_Yağışlı","1","0","0.68","1.87","4.7","20","mutlu"
"-5","Kar_Yağışlı","1","1","2.6","9.97","4.13","19","mutlu"
"-4.1","Kar_Yağışlı","1","0","6.11","8.7","-1.66","24","keyifli "
"-7","Kar_Yağışlı","0","0","0.98","-0.54","-1.05","24","keyifsiz"
"-8.2","Kar_Yağışlı","1","1","-1.19","-1.99","-1.91","24","keyifsiz"
"-7.1","Kar_Yağışlı","1","0","-0.81","-0.77","-0.91","20","sinirli "
"-6.1","Kar_Yağışlı","1","0","2.19","-1.38","-2.16","20","keyifsiz"
"-6.6","Az_Bulutlu","1","1","-3.28","-2.54","0.82","20","keyifsiz"
"-6","Az_Bulutlu","1","1","0.88","1.22","5.41","19","mutlu"
"-5.6","Az_Bulutlu","1","0","9.24","5.53","-7.46","20","keyifli "
"-4.7","Az_Bulutlu","0","0","-6.18","-1.79","-2.45","21","sinirli "
"-4.4","Az_Bulutlu","1","0","-2.71","-1.67","10","21","keyifli "
"-5.1","Az_Bulutlu","0","0","7.49","7.53","-0.97","20","mutlu"
"-4.3","Az_Bulutlu","0","0","-1.55","-2.55","-0.34","21","sinirli "
"-5","Az_Bulutlu","1","0","-3.01","-3.84","2.59","21","keyifsiz"
"-6.7","Az_Bulutlu","1","0","5.82","3.07","-2.14","20","keyifli "
"-9.9","Az_Bulutlu","0","0","-2.29","-5.57","2.58","19","sinirli "
"-9.4","Az_Bulutlu","1","0","0.62","-2.23","-1.41","21","sinirli "
"-9.6","Az_Bulutlu","1","1","-2.77","-2.93","-2.48","19","sinirli "
"-10","Az_Bulutlu","1","0","-1.91","-2.92","-0.34","20","sinirli "
"-10.5","Az_Bulutlu","1","1","1.72","-1.08","-0.93","20","keyifsiz"
"-10.6","Kar_Yağışlı","1","1","-0.52","-1.96","-0.88","24","sinirli "
"-11.3","Kar_Yağışlı","1","0","-1.1","2.32","0.02","24","keyifli "
"-11.8","Kar_Yağışlı","1","0","0.37","-0.46","-1.95","24","sinirli "
"-12","Kar_Yağışlı","0","0","0.97","-1.63","0.67","20","keyifsiz"
"-14.4","Kar_Yağışlı","1","0","-1.97","-1.96","-0.76","20","sinirli "
"-12.3","Kar_Yağışlı","1","0","2.77","-1.96","0.25","24","keyifli "
"-12.5","Kar_Yağışlı","0","0","0.3","2.88","-0.51","24","keyifli "
"-12.3","Kar_Yağışlı","1","1","-0.37","-1","1.05","20","keyifsiz"
"-12","Kar_Yağışlı","1","1","4.79","3.64","-1.26","20","mutlu"
"-11.7","Kar_Yağışlı","1","0","0.16","-1.44","1.86","21","keyifli "
"-11.9","Kar_Yağışlı","1","0","1.52","1.46","-1.19","21","keyifli "
"-11.2","Kar_Yağışlı","1","1","-2.19","-1.99","3.38","20","keyifsiz"
"-11.5","Kar_Yağışlı","0","0","6.04","4.23","0.07","19","mutlu"
"-11.6","Kar_Yağışlı","1","0","1.94","-1.77","-2.19","21","sinirli "
"-11.2","Kar_Yağışlı","1","0","-2.79","-1.89","-0.85","20","sinirli "
"-10.5","Az_Bulutlu","1","0","-2.17","-2.36","2.2","20","keyifsiz"
"-10.5","Az_Bulutlu","0","0","4.36","1.88","-2.2","21","mutlu"
"-10.2","Az_Bulutlu","0","0","-4.71","-6","0.25","19","üzgün"
"-9.5","Az_Bulutlu","1","0","-2.41","0.6","-0.48","21","sinirli "
"-9.3","Az_Bulutlu","1","1","-0.77","-0.53","2.25","19","keyifsiz"
"-9","Az_Bulutlu","1","1","1.17","2.91","4.34","19","mutlu"
"-8.7","Az_Bulutlu","1","1","3.23","3.19","1.96","19","mutlu"
"-8.5","Az_Bulutlu","1","1","-1.74","-3.89","-2.61","21","sinirli "
"-8.1","Az_Bulutlu","1","0","-0.32","-3.31","-2.24","20","sinirli "
"-7.8","Az_Bulutlu","1","0","-4.31","2.06","0.19","21","üzgün"
"-7.5","Az_Bulutlu","0","0","0.99","1.63","0.15","21","mutlu"
"-6.9","Az_Bulutlu","1","0","-1.06","-4.59","-4.26","20","sinirli "
"-6.7","Az_Bulutlu","1","1","-2.58","1.93","1.19","20","keyifli "
"-7","Az_Bulutlu","1","0","-2.09","0.28","0.57","19","keyifli "
"-6.4","Sisli","0","0","-1.28","-2.64","-2.29","20","sinirli "
"-6.1","Sisli","1","0","0.29","2.25","1.41","24","mutlu"
"-4.4","Kar_Yağışlı","1","0","-3.73","-0.25","6.02","20","keyifli "
"-3.7","Kar_Yağışlı","1","1","2.72","0.54","-0.79","19","keyifli "
"-3.6","Kar_Yağışlı","1","0","0.14","-0.47","3.79","24","keyifli "
"-3.1","Kar_Yağışlı","0","0","6.22","4.05","-0.96","20","mutlu"
"-3.2","Kar_Yağışlı","1","0","-1.17","-1.95","0.82","21","üzgün"
"-3","Kar_Yağışlı","1","1","0.15","-1.16","-0.37","20","üzgün"
"-1.8","Kar_Yağışlı","1","0","-0.8","1.1","-2.98","21","sinirli "
"-1.3","Kar_Yağışlı","1","0","-2.69","-0.66","1.02","21","sinirli "
"-1.5","Sisli","1","1","0","-2.04","-0.74","19","sinirli "
"0.4","Kar_Yağışlı","1","0","0.93","-1.86","2.48","24","keyifsiz"
"0.6","Az_Bulutlu","0","0","0.07","-2.13","14.36","20","mutlu"
"-3.5","Az_Bulutlu","1","1","-9.08","-9.93","0.56","21","sinirli "
"-4.4","Az_Bulutlu","1","1","-1.96","2.33","5.11","20","mutlu"
"-5.9","Az_Bulutlu","1","0","6.02","7.48","4.76","19","mutlu"
"-5.8","Az_Bulutlu","1","0","2.91","0.79","-4.74","19","keyifsiz"
"-5.6","Az_Bulutlu","1","0","-4.94","-6.62","-3.57","20","sinirli "
"-5.9","Kar_Yağışlı","0","0","-4.97","-3.79","1.51","24","üzgün"
"-6.4","Kar_Yağışlı","1","0","-3.34","-4.06","1.6","21","üzgün"
"-6.5","Kar_Yağışlı","1","1","-0.27","0.95","1.28","19","keyifli "
"-7.1","Kar_Yağışlı","1","0","-1.05","-1.1","-1.23","20","sinirli "
"-6.7","Kar_Yağışlı","0","0","1.4","-2.16","-0.48","24","keyifsiz"
"-6.5","Az_Bulutlu","1","0","-0.99","3.45","0.47","19","keyifli "
"-7.2","Az_Bulutlu","1","0","1.15","7.03","3.09","20","mutlu"
"-8.1","Az_Bulutlu","1","0","2.08","1.62","4.91","20","mutlu"
"-8.8","Az_Bulutlu","0","0","-1.97","-5.7","-2.43","19","sinirli "
"-8.5","Az_Bulutlu","1","0","0.41","6.97","2.86","20","mutlu"
"-8.4","Az_Bulutlu","1","1","4.19","3.96","0.1","19","mutlu"
"-7.7","Az_Bulutlu","0","0","-0.98","5.68","6.79","20","mutlu"
"-5.9","Kar_Yağışlı","1","0","-2.1","0.76","-1.07","24","keyifsiz"
"-5.4","Kar_Yağışlı","1","0","-1.31","-2.09","2.75","24","keyifli "
"-4.8","Kar_Yağışlı","0","0","2.26","2.07","-0.33","20","keyifli "
"-3.7","Kar_Yağışlı","1","0","-0.21","-0.17","-0.29","24","sinirli "
"-2.5","Az_Bulutlu","1","0","-0.56","-1.92","-0.47","20","sinirli "
"-1.7","Az_Bulutlu","1","0","-2.06","-2.89","3.38","21","keyifsiz"
"-1.4","Az_Bulutlu","1","0","1.81","2.59","6.55","19","mutlu"
"-0.2","Az_Bulutlu","1","1","-0.66","0.69","0.84","20","keyifli "
"2.5","Az_Bulutlu","1","1","-2.16","-1.49","-3.38","20","sinirli "
"2.3","Kar_Yağışlı","1","0","8.03","5.82","-1.03","24","mutlu"
"1.4","Kar_Yağışlı","1","0","3.14","-1.47","0.16","24","keyifli "
"1.6","Kar_Yağışlı","1","1","3.67","-1.61","1.78","19","keyifli "
"1.2","Az_Bulutlu","0","0","-0.41","3.76","-0.7","24","keyifli "
"0.7","Kar_Yağışlı","0","0","1.14","-2.45","1.31","24","keyifli "
"1.5","Kar_Yağışlı","1","1","1.97","5.01","-0.87","19","mutlu"
"1.2","Az_Bulutlu","1","0","-0.8","4.37","0.63","24","mutlu"
"1.6","Az_Bulutlu","0","0","1.17","3.24","1.91","19","mutlu"
"2.6","Az_Bulutlu","1","0","0.28","4.68","6.08","19","mutlu"
"-0.2","Az_Bulutlu","0","0","-4.04","-2.69","2.16","22","üzgün"
"-1.4","Az_Bulutlu","1","0","-0.64","-1.35","5.89","21","keyifli "
"-13.9","Az_Bulutlu","1","0","-1.69","4.16","-1.97","21","keyifli "
"-14.4","Az_Bulutlu","0","0","1.01","0.06","3.7","19","mutlu"
"-13.9","Az_Bulutlu","1","1","0.15","-2.16","2.56","20","keyifli "
"-12.7","Az_Bulutlu","1","1","9.39","5.04","0.96","20","mutlu"
"-11.2","Az_Bulutlu","1","1","4.95","-1.16","0.84","20","mutlu"
"-11.2","Az_Bulutlu","1","1","4.06","-1.77","5.08","20","mutlu"
"-10.8","Az_Bulutlu","1","0","9.99","8.78","1.21","20","mutlu"
"-9.4","Az_Bulutlu","1","0","2.31","-1.6","-2.01","21","keyifsiz"
"-9","Az_Bulutlu","0","0","-2.05","0.2","-1.52","19","üzgün"
"-8.5","Az_Bulutlu","1","1","-0.63","-2.6","2.47","22","keyifli "
"-8","Az_Bulutlu","1","1","2.22","-0.52","-1.42","22","keyifsiz"
"-7.6","Az_Bulutlu","0","0","-3.73","1.05","2.22","22","keyifsiz"
"-7.3","Kar_Yağışlı","1","1","5.38","1.06","-4.72","24","keyifli "
"-7.1","Kar_Yağışlı","1","0","-7.03","-9.99","0","24","sinirli "
"-6.8","Kar_Yağışlı","1","1","-0.27","-0.18","-0.59","24","sinirli "
"-6.2","Kar_Yağışlı","1","0","-0.2","2.62","3.67","24","keyifli "
"-6","Kar_Yağışlı","0","0","4.5","9.98","-3.41","22","mutlu"
"-5.8","Kar_Yağışlı","1","1","-5.14","-6.92","1.26","24","üzgün"
"-5.8","Kar_Yağışlı","1","0","2.11","9.94","0","24","mutlu"
"-5.7","Kar_Yağışlı","1","0","0.55","4.59","3.84","24","mutlu"
"-5.1","Kar_Yağışlı","1","1","-2","-2.03","0.45","24","üzgün"
"-5.4","Kar_Yağışlı","0","0","4.67","5.68","2.04","20","mutlu"
"-5","Kar_Yağışlı","1","0","0.98","7.03","-1.24","24","mutlu"
"-5","Kar_Yağışlı","1","1","-2.74","-2.39","-2.01","24","üzgün"
"-4.7","Kar_Yağışlı","0","0","3.76","-1.52","-0.06","24","keyifli "
"-4.1","Kar_Yağışlı","1","1","1.08","-0.83","1.14","20","keyifli"
"-4.6","Kar_Yağışlı","1","1","-0.85","1.84","1.39","20","mutlu"
"-5.1","Kar_Yağışlı","1","0","2.4","3.33","-2.48","24","mutlu"
"-5","Kar_Yağışlı","1","0","1.25","-2.4","1.99","24","keyifli"
"-4.8","Kar_Yağışlı","1","1","0.07","0.7","-0.75","24","keyifsiz"
"-5","Az_Bulutlu","1","0","-1.65","-1.47","1.81","21","sinirli "
"-5.1","Az_Bulutlu","1","1","1.38","4.37","-0.24","20","mutlu"
"-5.4","Az_Bulutlu","1","0","1.25","3.34","2.27","24","mutlu"
"-5.1","Az_Bulutlu","1","1","6.68","-1.73","-2.13","20","keyifli"
"-4.8","Kar_Yağışlı","1","0","-0.26","-0.17","3.09","24","keyifli"
"-4.9","Kar_Yağışlı","1","0","0.95","1.88","0.71","24","mutlu"
"-4.8","Kar_Yağışlı","1","0","5.24","0.77","1.36","24","mutlu"
"-4.3","Kar_Yağışlı","0","0","0.55","0.78","-0.55","20","keyifli"
"-3.7","Kar_Yağışlı","1","0","5.06","2.12","2.14","20","mutlu"
"-2.9","Kar_Yağışlı","0","0","1.65","-1.57","0.1","20","mutlu"
"-1.7","Kar_Yağışlı","0","0","2.18","3.89","6.25","20","mutlu"
"-2.5","Kar_Yağışlı","1","1","1.41","0.45","1.32","20","mutlu"
"-3.2","Kar_Yağışlı","1","1","0","-1.08","-1.65","24","üzgün"
"-5.5","Kar_Yağışlı","1","0","-1.09","-0.89","3.57","24","mutlu"
"-7.6","Tipi","1","1","-1.02","0.45","0.07","24","keyifli"
"-8.9","Tipi","0","0","-3","0.18","1.57","20","keyifsiz"
"-9.7","Kar_Yağışlı","1","0","0.49","0.63","0.12","24","mutlu"
"-11.2","Tipi","1","0","0.49","-0.54","0.04","21","üzgün"
"-12","Tipi","1","0","2.24","1.46","1.28","24","mutlu"
"-13.4","Kar_Yağışlı","1","1","4.26","1.67","-1.71","20","keyifli"
"-14.3","Az_Bulutlu","1","0","-2.56","-1.56","-4.2","20","sinirli "
"-15.2","Az_Bulutlu","0","0","-0.69","-1.09","1.44","20","üzgün"
"-18","Az_Bulutlu","1","0","3.02","1.86","-3.54","20","keyifsiz"
"-17.1","Az_Bulutlu","1","0","1.34","0.8","-5.87","19","keyifsiz"
"-17.7","Az_Bulutlu","1","0","-2.88","-1.86","2.28","21","üzgün"
"-18.3","Az_Bulutlu","0","0","0.29","-1.83","3.28","20","mutlu"
"-19.6","Az_Bulutlu","1","0","2.06","1.43","0.51","20","mutlu"
"-21.2","Az_Bulutlu","1","0","3.37","-0.09","0.56","20","mutlu"
"-21.1","Az_Bulutlu","1","1","-0.3","2.12","-3.53","20","keyifsiz"
"-21.4","Az_Bulutlu","1","0","0.64","-1.9","0.1","20","keyifsiz"
"-20.7","Az_Bulutlu","1","0","-3.39","-1.95","0.27","21","üzgün"
"-21","Az_Bulutlu","1","1","3.47","1.38","-4.45","20","keyifli"
"-22.8","Az_Bulutlu","1","1","-0.25","1.98","-0.54","20","keyifsiz"
"-22.2","Az_Bulutlu","1","0","0.69","-0.24","-1.16","21","keyifsiz"
"-20.6","Az_Bulutlu","1","0","-1.28","1.81","2.86","20","keyifli"
"-19.3","Az_Bulutlu","0","0","0.77","1.16","5.58","20","mutlu"
"-18","Az_Bulutlu","1","0","10","2.91","0.74","20","mutlu"
"-16.8","Az_Bulutlu","1","1","1.26","-2.01","-0.11","20","keyifsiz"
"-16","Az_Bulutlu","0","0","4.22","1.36","0.74","20","mutlu"
"-17.9","Az_Bulutlu","1","0","3.58","-1.81","-1.7","21","keyifsiz"
"-14.4","Az_Bulutlu","1","0","-0.35","0","-3.55","21","sinirli "
"-10.1","Az_Bulutlu","1","0","2.98","-1.57","1.99","19","keyifli"
"-8","Az_Bulutlu","0","0","1.02","-1.01","0.1","20","üzgün"
"-7.1","Az_Bulutlu","0","0","1.03","-0.14","-1.15","20","üzgün"
"-12.5","Az_Bulutlu","0","0","2.99","-0.65","-0.68","20","keyifli"
"-14.8","Az_Bulutlu","1","1","2.38","0.29","-1.22","20","keyifli"
"-14","Az_Bulutlu","1","0","-0.84","6.85","-1.08","19","mutlu"
"-12.9","Az_Bulutlu","1","0","2.89","2.2","0.45","20","mutlu"
"-12.2","Az_Bulutlu","1","1","0.35","-1.85","1.26","20","keyifli"
"-11.5","Az_Bulutlu","0","0","3.11","2.7","2.92","20","mutlu"
"-10.8","Az_Bulutlu","0","0","2.07","2.27","0.84","20","mutlu"
"-10.4","Az_Bulutlu","1","1","1.61","2.66","-1","20","mutlu"
"-9.7","Az_Bulutlu","1","0","0.25","-0.99","1.55","19","mutlu"
"-9.2","Az_Bulutlu","0","0","1.71","1.93","2.1","20","mutlu"
"-7.5","Kar_Yağışlı","1","0","0.07","-1.34","1.31","24","keyifli"
"-7.4","Kar_Yağışlı","1","1","-1.47","-1.57","4.14","20","keyifli"
"-7","Kar_Yağışlı","0","0","2.15","0.58","1.66","20","mutlu"
"-6.5","Kar_Yağışlı","1","0","0.72","3.71","-2.84","24","keyifli"
"-6.1","Kar_Yağışlı","0","0","-0.5","-2.03","5.83","21","keyifli"
"-5.3","Kar_Yağışlı","1","1","0.58","1.46","4.87","20","mutlu"
"-5.1","Kar_Yağışlı","0","0","0.14","-2.18","1.87","24","keyifli"
"-4.3","Kar_Yağışlı","1","1","3.91","-0.58","9.96","20","mutlu"
"-3.7","Kar_Yağışlı","1","0","0.76","-0.99","2.7","24","mutlu"
"-3.5","Kar_Yağışlı","1","1","2.64","-0.33","-2.14","20","keyifsiz"
"-3.6","Kar_Yağışlı","0","0","-1.53","-2.33","0.79","21","üzgün"
"-3.5","Kar_Yağışlı","0","0","3.32","-3.57","-2.15","21","üzgün"
"-0.6","Sisli","0","0","2.85","-4.36","-2.11","24","üzgün"
"2.1","Sisli","1","1","-1.41","7.86","3.69","22","mutlu"
"-6.1","Kar_Yağışlı","0","0","-2.77","-2.25","-0.97","24","sinirli "
"-7.7","Kar_Yağışlı","1","0","-1.9","-0.65","1.93","21","keyifsiz"
"-9.8","Az_Bulutlu","1","1","2.3","-0.19","-1.06","20","keyifsiz"
"-10.9","Az_Bulutlu","0","0","-2.91","-2.53","4.34","19","keyifsiz"
"-11.2","Az_Bulutlu","1","1","-1.2","2.31","4.75","20","mutlu"
"-11.2","Az_Bulutlu","0","0","4.76","-0.37","-3.47","20","keyifli"
"-11.1","Az_Bulutlu","1","1","-3.44","0.46","2.45","20","keyifsiz"
"-11","Az_Bulutlu","1","1","-0.6","2.56","-1.65","20","keyifsiz"
"-10.6","Az_Bulutlu","1","0","-0.13","-0.85","1.8","21","keyifsiz"
"-10.3","Az_Bulutlu","0","0","3.68","1.43","0.7","20","mutlu"
"-10.4","Az_Bulutlu","1","0","1.84","0.1","3.01","24","mutlu"
"-10.6","Az_Bulutlu","0","0","6","2.64","-1.71","20","mutlu"
"-11.7","Az_Bulutlu","1","0","-0.07","0.67","0.71","19","keyifli"
"-6.7","Az_Bulutlu","0","0","4.82","2.32","1.11","20","mutlu"
"-6.7","Az_Bulutlu","1","0","4.4","3.13","5.76","20","mutlu"
"-6.9","Az_Bulutlu","1","1","9.09","4.43","-0.55","20","mutlu"
"-5","Az_Bulutlu","0","0","-0.6","-1.14","-1.44","21","sinirli "
"-3.6","Kar_Yağışlı","0","0","-4.46","-2.41","2.02","21","üzgün"
"-3.7","Kar_Yağışlı","0","0","2.93","2.28","-2.46","20","keyifli"
"-5","Kar_Yağışlı","1","0","-1.44","-3.04","0.41","21","üzgün"
"-4.2","Kar_Yağışlı","0","0","-1.61","0.93","9.51","23","mutlu"
"-4.1","Kar_Yağışlı","1","1","9.94","9.02","-1.99","20","mutlu"
"-4.1","Kar_Yağışlı","0","0","-5.27","-7.84","-9.98","24","sinirli "
"-3.9","Kar_Yağışlı","1","0","-9.98","-9.97","3.67","24","sinirli "
"-6","Kar_Yağışlı","1","1","-9.95","-9.93","6.36","24","sinirli "
"-6.3","Kar_Yağışlı","0","0","6.98","7.09","-0.25","20","mutlu"
"-7.6","Az_Bulutlu","1","0","3.99","-2.53","5.69","19","mutlu"
"-10.4","Az_Bulutlu","1","0","1.8","5.17","-1.6","19","mutlu"
"-13.7","Az_Bulutlu","0","0","7.95","4.79","-0.2","20","mutlu"
"-15.5","Az_Bulutlu","0","0","1.53","0.28","3.05","20","mutlu"
"-15","Az_Bulutlu","0","0","-0.87","0.28","0","20","keyifsiz"
"-14.8","Az_Bulutlu","1","0","6.91","0.46","-0.2","20","keyifli"
"-15.4","Az_Bulutlu","0","0","-0.58","-4.33","3.14","20","keyifsiz"
"-15.9","Az_Bulutlu","1","1","1.94","9.91","-1.8","20","mutlu"
"-16.3","Az_Bulutlu","1","0","-9.53","-2.83","4.02","20","keyifsiz"
"-16.9","Az_Bulutlu","0","0","-1","1.34","-1.48","19","keyifsiz"
"-18.5","Az_Bulutlu","1","1","1.34","8.85","2.2","20","mutlu"
"-18.1","Az_Bulutlu","0","0","6.18","3.34","4.21","20","mutlu"
"-16.4","Az_Bulutlu","0","0","-5.06","1.41","1.3","20","üzgün"
"-16.1","Az_Bulutlu","1","1","0.06","2.91","4.85","20","mutlu"
"-15.3","Az_Bulutlu","1","0","1.87","1.71","-3.63","19","keyifsiz"
"-15.9","Az_Bulutlu","0","0","0.28","-1.13","2.9","20","keyifli"
"-15.3","Az_Bulutlu","1","0","-1.18","3.74","2.19","19","keyifli"
"-14.8","Az_Bulutlu","0","0","0.56","1.06","2.95","20","mutlu"
"-14.3","Az_Bulutlu","0","0","-2.26","0.59","-0.39","19","keyifsiz"
"-13.9","Az_Bulutlu","1","0","-0.17","-0.71","2.51","21","keyifli"
"-14","Az_Bulutlu","1","1","0.61","1.68","-0.05","20","keyifli"
"-15.9","Kar_Yağışlı","1","0","2.27","1.21","-0.99","24","keyifli"
"-16.3","Kar_Yağışlı","0","0","4.01","0.24","-0.29","20","keyifli"
"-15.9","Kar_Yağışlı","1","1","8.92","2.75","4.61","20","mutlu"
"-13.4","Az_Bulutlu","0","0","1.37","-0.99","3.72","20","mutlu"
"-17.4","Az_Bulutlu","1","1","-0.48","-1.35","-2.87","19","sinirli "
"-18.4","Az_Bulutlu","1","0","-1.41","3.21","4.6","19","mutlu"
"-17.2","Az_Bulutlu","1","1","0.78","0.39","0.39","20","mutlu"
"-19.5","Az_Bulutlu","1","0","-0.21","1.7","1.11","21","keyifli"
"-19","Sisli","1","1","2.99","4.51","-2.06","20","mutlu"
"-18.6","Az_Bulutlu","1","0","-2.35","-1.62","-3","20","sinirli "
"-18.5","Az_Bulutlu","1","1","1.23","-0.93","-1.66","20","üzgün"
"-14.5","Sisli","1","0","0.72","-0.54","3.79","20","keyifli"
"-13","Sisli","0","0","1.23","2.61","0.69","20","mutlu"
"-9.4","Az_Bulutlu","0","0","-0.66","0.28","-1.72","21","üzgün"
"-8.7","Az_Bulutlu","0","0","2.18","-1.36","0.18","20","keyifli"
"-8","Az_Bulutlu","0","0","1.06","0","1.37","20","mutlu"
"-9.5","Az_Bulutlu","1","1","1.07","1.1","-3.09","20","keyifsiz"
"-12.3","Az_Bulutlu","1","1","2","0.97","0.54","20","mutlu"
"-13.3","Az_Bulutlu","0","0","0.08","-1.07","-0.7","21","üzgün"
"-12.9","Az_Bulutlu","1","0","-1.74","-1.46","2.3","21","keyifsiz"
"-12.1","Az_Bulutlu","0","0","-1.82","-1.45","-1.53","20","sinirli "
"-11.2","Az_Bulutlu","0","0","-2.32","-1.81","-0.12","20","sinirli "
"-9.9","Az_Bulutlu","0","0","0.54","-0.13","-0.12","20","keyifsiz"
"-8.8","Az_Bulutlu","1","0","-0.16","-0.13","0.12","21","keyifsiz"
"1.2","Az_Bulutlu","1","0","2.32","-0.26","0.23","21","keyifli"
"2.3","Az_Bulutlu","0","0","-2.42","0.39","-0.23","21","üzgün"
"2.5","Az_Bulutlu","1","0","2.56","0.26","-0.53","20","keyifli"
